S.No,isAlive,name,title,"Gender (1=male, 0=female)",culture,house,isMarried,spouse,isNoble,age,isPopular
1666,0,Brynden Rivers,Ser,1,Valyrian,House Targaryen,0,,1,77,1
1667,1,Brynden Tully,Ser,1,Rivermen,House Tully,0,,1,63,1
1674,0,Corlys Velaryon,Lord of the Tides,1,Valyrian,House Velaryon,1,Rhaenys Targaryen,1,79,1
1675,0,Criston Cole,Ser,1,Stormlands,House Cole,0,,1,48,1
1677,0,Daemon Targaryen,Commander of the City Watch,1,Valyrian,House Targaryen,1,Rhea Royce,1,49,1
1678,1,Daenerys Targaryen,Andals,0,Valyrian,House Targaryen,1,Drogo,1,21,1
1689,0,Eddard Stark,Winterfell,1,Northmen,House Stark,1,Catelyn Tully,1,36,1
1691,1,Edmure Tully,Ser,1,Rivermen,House Tully,1,Roslin Frey,1,38,1
1716,0,Gregor Clegane,Ser,1,,House Clegane,0,,1,35,1
1737,1,Illyrio Mopatis,Magister,1,Pentoshi,House Targaryen,1,Cousin to the Prince of Pentos,1,,1
1742,1,Jaime Lannister,Ser,1,Westerlands,House Lannister,0,,1,39,1
1745,0,Jon Arryn,Eyrie,1,Valemen,House Arryn,1,Jeyne Royce,1,81,1
1750,1,Jon Snow,Lord Commander of the Night's Watch,1,Northmen,House Stark,0,,1,22,1
1752,0,Kevan Lannister,Ser,1,,House Lannister,1,Dorna Swyft,1,56,1
1764,1,Mance Rayder,,1,Free folk,Other,0,,0,,1
1782,1,Roose Bolton,Dreadfort,1,Northmen,House Bolton,1,Bethany Ryswell,1,45,1
1785,0,Renly Baratheon,Lord Paramount of the Stormlands,1,Stormlands,House Baratheon,1,Margaery Tyrell,1,22,1
1786,1,Theon Greyjoy,green lands,1,Ironmen,House Greyjoy,0,,1,27,1
1793,1,Sansa Stark,Princess,0,Northmen,House Stark,1,Tyrion Lannister,1,19,1
1799,0,Tywin Lannister,Casterly Rock,1,,House Lannister,1,Joanna Lannister,1,58,1
1812,0,Steffon Baratheon,Storm's End,1,,House Baratheon,1,Cassana Estermont,1,32,1
1829,1,Petyr Baelish,Master of coin,1,Valemen,House Baelish,1,Lysa Arryn,1,37,1
1830,0,Viserys Targaryen,Lord of the Seven Kingdoms,1,Valyrian,House Targaryen,0,,1,22,1
1831,1,Varys,Master of Whisperers,1,,Other,0,,1,,1
1834,1,Victarion Greyjoy,Lord Captain of the Iron Fleet,1,Ironborn,House Greyjoy,0,,1,37,1
1841,1,Tyrion Lannister,Hand of the King,1,,House Lannister,1,Tysha,1,32,1
1849,0,Tyland Lannister,Ser,1,,House Lannister,0,,1,,1
1854,0,Sandor Clegane,,1,,House Clegane,0,,0,30,1
1868,0,Jeor Mormont,Bear Island,1,Northmen,House Mormont,0,,1,69,1
1874,1,Qyburn,Master of whisperers,1,,House Lannister,0,,1,,1
1877,1,Rickon Stark,Prince of WinterfellHeir to Winterfell,1,Northmen,House Stark,0,,1,10,1
1899,1,Arianne Martell,Princess,0,Dornishmen,House Martell,0,,1,29,1
1903,0,Brandon Stark,,1,Northmen,House Stark,0,,0,20,1
1919,0,Rhaegar Targaryen,Prince of Dragonstone,1,Valyrian,House Targaryen,1,Elia Martell,1,24,1
1920,0,Drogo,Khal,0,Dothraki,Dothraki,1,Daenerys Targaryen,0,32,1
1928,1,Loras Tyrell,Ser,1,The Reach,House Tyrell,0,,1,23,1
1942,0,Luwin,,1,Westeros,House Stark,0,,0,,1
